Restaurant	Food restrictions	Menu
Restaurant Armenian House	['Gluten-free', 'Vegetarian']	Starters | Täytetyt munakoisorullat : Paistettua munakoisoa, smetanaa, valkosipulia, yrttejä ja saksanpähkinää
		Starters | Nrbablit : Rapeaksi paistetulla naudanjauhelihalla täytetty lettu
		Mains | Khozi Khorovac : Savuuunissa grillattua porsaan kassleria, perunoita, tuoretta salaattia ja granaattiomenakastiketta
		Mains | Arishta : Perinteinen armenialainen pasta, mauste-smetanakastike, parmesaaniraastetta
		Mains | Pasuc Tolma
		"Shared Dishes | PÖYTÄ ARMENIALAISITTAIN! € 60 : PÖYTÄ ARMENIALAISITTAIN!Tarjoamme vähintään neljälle hengelle aidon,
armenialaisen pöytäkattauksen täynnä
makuelämyksia ja armenialaista tunnelmaa.Kattaus sisältäa maukkaita ja monipuolisia alku- ja pääruokia
menustamme.ALKURUOATMunakoisorullat (K,L,G), Adjika (V), Khaviar (V),
Basturma-Suchukh (M,G), Marinoidut vihannekset (V,G), Aveluk-salaatti (K,L,G), Amarain-salaatti (V,G), Lavash leipä (M).PÄÄRUOATKhorovac khozi (M,G), Ailazan (V,G), Gavari
kana-qabab (M,G), Hacharov plav (K,L)!Ryhmämenu sopii hyvin jaettavaksi seurueen
kesken. Tuomme ruoat pöydän keskelle nautittavaksenne armenialaisittain!Erikoisruokavaliot ja
allergiat otettu huomioon. Juomat tai jälkiruoat eivät sisälly hintaan (tilattavissa erikseen)."
		Desserts | Gata : Perinteinen armenialainen leivonnainen, sis. pähkinää
		Desserts | Suklainen Spartak-kakku
The Alley	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | Shashlik Yakitori : Georgian grilled pork, brussel sprouts, smoked jus, pickled mustard seeds
		Small Plates | Salsa Macha roasted pumpkin : Roasted Hokkaido Pumpkin, Feta & Goat cheese, pumpkin seeds, salsa macha sauce
		Small Plates | Vendace Carpaccio : Smoked Vendace, fried capers, tomato carpaccio, mignonette
		Small Plates | The Pinecabe steak : Cabbage steak, fermented pineapple sauce, almond milk, poppy seeds (v/veg)
		Small Plates | Croquetas de Birria : Birria beef, bechamel, salsa verde, aioli, pickled red onions
The Butter Boys	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Bao Buns : Tiger Prawns3 kpl Höyrysämpylöitä, Tiikeriravun pyrstöjä, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M)Candy Pork3 kpl Höyrysämpylöitä, Karamellisoitua possua, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M)Tofu Buns3 kpl Höyrysämpylöitä, Kylmäsavustettua tofua, Chiliä, Korianteria, Pikkelteitä, Limeä  Boys Mayo (M, saatavilla VE)
		Mains | GRILLED CHEESE VOL 2 : Hapanjuustoleipää, Emmental-juustoa, Mozzarellajuustoa, parmesaania, karamellisoitua sipulia, paahdettua valkosipulivoita, pikkeleitä & Ranch-dippi (VL)
		Mains | TUNA MELT : Hapanjuurileipää, tonnikalaa, majoneesia, emmentaljuustoa, mozzarellajuustoa, parmesaania, varsiselleriä tilliä ja ranch-dippi.
		Mains | ANTHONY BOURDAIN : Perunasämpylä, 150g Mortadella-kinkkua, Provolone-juustoa ja hunajasinappi (sis pähkinää, saatavilla G)
		Desserts | Mansikkapirtelö : Kermavaahtoa ja strösseliä (L,G)
		Desserts | Sitruuna-lakritsi Creme brúlee ja Etelän Hetelmiä : L,G
		Snacks | Tiikeriravun pyrstöjä : Paahdettua valkosipulivoita & Boys Jäm (L)
		Snacks | Patatas Bravas : Boys Jäm & Aiolia (L,G)
Ravintola KuuKuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Kasviscarpaccio ja kikhernekrutonkeja
		Starters | Vuohenjuustosalaatti, oman pellon kasviksia ja balsamicosiirappia
		Starters | Katkarapuskagen ja kylmäsavustettua kirjolohenmätiä
		Mains | Vuohenjuustosalaatti, oman pellon kasviksia ja balsamicosiirappia
		Mains | Hirssirisottoa, vegaanista juustoa ja oman pellon kasviksia
		Mains | Katkarapuskagen ja kylmäsavustettua kirjolohenmätiä
		Desserts | Oman pellon yrteillä maustettu crème brûlée
		Desserts | Suklaamoussea, kahvikakkua ja pekaanipähkinää
		Desserts | Sitruunamarenkipiirakkaa ja mustaherukkasorbettia
Daily Dose	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | CARPACCIO DI MANZO (G, L) : 100gr. raw beef fillet, meticulously sliced and marinated with salt, pepper, olive oil extra virgin, and Parmigiano Reggiano.
		Starters | GAMBERI PICCANTI (G, L) : Shrimps (ASC), pan-seared and served with a delicate sauce of olive oil extra virgin,  flavourful stock, and a hint of chili, finished with a vibrant roasted bell pepper purée.
		Starters | TARTALLETTE (L) : It is a flaky, golden crust filled with a savoury medley of seasonal vegetables as bell peppers, zucchini, yellow squash, eggplant, all seasoned with olive oil extra virgin, salt, and pepper.
		"Mains | RISOTTO (G, F) : Creamy Arborio rice simmered with white wine and Hokkaido pumpkin, mussels, butter, Pecorino
cheese, and a touch of black pepper."
		Mains | PASTA CON RAGU’ DI LENTICCHIE (V)(N) : Interlude pasta. Lentils Ragù is a hearty and flavourful dish that combines the rich, savoury taste of lentils with the comforting texture of pasta. The ragù is made with tomato-based sauce aromatic vegetables as onions, carrots, celery and walnuts.
		Mains | POLPO ALLA LUCIANA (L) : Octopus simmered in a tomatoes sauce, olives, capers, chili peppers, olive oil extra virgin and garlic. The slow-cooking method ensures the octopus becomes tender and absorbs the rich sauce.
		Desserts | TORTA DELLA NONNA (L) : Buttery pastry crust filled with a creamy custard made from eggs, milk, sugar, and flour. The top is adorned with pine nuts and dusted with powdered sugar.
		"Desserts | PANNACOTTA (V, G) : A twist on the traditional panna cotta, this vegan version features the flavors of passion fruit and
coconut milk, set with agar-agar, and topped with meringue. Enjoy its silky, smooth texture that
closely mimics the original."
Passio	['Gluten-free', 'Vegan', 'Vegetarian']	"Set Menu | Tarjoilemme Passiossa 3 ja 5 ruokalajin yllätysmenuita : 3 ruokalajin menu 62.00€ + viinisuositukset 
 yhdelle 49€5 ruokalajin menu 82.00€ + viinisuositukset yhdelle 69€WE OFFER 3 AND 5 COURSE MENUS3 course menu 62.00€ + wines 49€ (per person)5 course menu 82.00€ + wines 69€ (per person)"
		Beverages | Viinit : Passion viinivalikoima koostuu itse maahantuoduista eurooppalaisista pientuottajaviineistä.Our wine collection consist of self imported, European small and artisan produced wines.
Ravintola Ani	['Gluten-free', 'Vegan', 'Vegetarian']	"Starters | TURKKILAINEN MEZE -LAUTANEN (pieni) : Humusta, papusalaattia, munakoisoa, bulguria,
viininlehtikääryleitä, fetaa sekä ezmeä ja haydaria"
		"Mains | VALKOSIPULIKANAA : Valkosipulilla maustettua broilerivarrasta, riisiä
ja salaattia sekä haydaria"
		"Mains | ADANA KEBAB : Chilillä ja paprikalla maustettua lampaan
jauhelihavarrasta grillattuna, lisäksi leipää ja salaattia"
		"Mains | MIXED GRILL : Broilerin ja karitsan sisäfilevarrasta,
haydaria ja ezmeä, lisäksi riisiä"
Pompier ESPA	['Gluten-free', 'Vegetarian']	Starters | Siikacrudo, fermentoitua tomaattilientä ja jalapeñoöljyä : Whitefish crudo, fermented tomato infusion and jalapeño oil
		Starters | Härkätartar, karamellisoitua sipulimajoneesia ja pikkelöityjä viinirypäleitä : Beef tartare, caramelized onion mayonnaise and pickled grapes
		Starters | Briossia, linnunmaksamoussea ja luumua : Brioche, chicken liver mousse and plum
		Mains | Paistettua kuhaa, suolasitruuna- beurre blanc ja salottisipuliconfit : Pan fried pike perch, preserved lemon beurre blanc and shallot confit
		Mains | Perunagnoccheja ”melanzane” ja burratajuustoa : Potato gnocchi “melanzane” and burrata
		Desserts | Tarte Tatin, kinuskia ja vaniljajäätelöä : Tarte Tatin, caramel sauce and vanilla ice cream
		Desserts | Appelsiinikakkua ja Timut-pippuriranskankermaa : Orange cake and Timut pepper crème fraîche
Gastro Cafe Kallio	['Vegetarian']	Mains | Päivittäin vaihtuva menu
Georgian Kitchen	['Vegetarian']	Starters | Kasvissalaatti saksanpähkinällä : Kurkkua, tomaattia, punasipulia, georgialaisia mausteita ja yrttejä, saksanpähkinää, granaattiomenaa.L, G, V
		Starters | Pkhali valikoima : Saksanpähkinää, pinaattia, papuja, punajuurta, georgialaisia mausteita ja yrttejä.L, G, V
		Starters | Munakoisorullia ”Badrizhani” : Munakoisoa, saksanpähkinää, sipulia, valkosipulia, georgialaisia mausteita ja yrttejä.L, G, V
		Mains | Lihakhinkali : Naudan- ja sianlihalla täytetyt taikinanyytitL
		Mains | Sienichashushuli : Sieniä, tomaattia, sipulia, valkosipulia, georgialaisia mausteita ja yrttejäL, G, V
		Mains | Lohi : Lohifilee, sitruunaa, salaattisekoitus, kirsikkatomaattia, balsamicoL, G
		Desserts | Pelamushi : Rypälemehusta valmistettu georgialainen jälkiruoka ja jäätelöäL, G, V
		Desserts | Päärynää punaviinissä : Päärynää, saksanpähkinää, hasselpähkinää, kaneliaL, G, V
		"Desserts | ""Napoleon"" kakku"
Levant Bulevardi	['Gluten-free', 'Halal', 'Vegan', 'Vegetarian']	Mains | Meze Levant : FALAFEL, HUMMUS, TABBOULEH, BABA GANOUSH, TOMAATTIPAPU
		Mains | Meze Vegan : FALAFEL, HUMMUS, MARINOIDUT KASVIKSET, TABBOULEH, BABA GANOUSH
		Mains | Levant Original (Grillattu falafelrulla)
Three Belly’s Pizza	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Chupa dedo olives
		Antipasti | Taleggio piacere
		Antipasti | House pastrami
		Mains | Funghi La La : Truffle sour cream, lemon & thyme marinated shitake mushrooms, oyster mushrooms, lemon EVO & aged parmesan
		Mains | Pueblo Escobar : Pomodoro Pelati, Fior di Latte mozzarella, oregano, Pueblo Chorizo, Nduja salami, ricotta & basil
		Mains | Piha Provençal
		Desserts | Tiramisu : Amaretto flavoured cake, coffee & mascarpone cream
Ravintola Kuu	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Vuohenjuustosalaattia, marinoitua paprikaa ja pekaanipähkinää : Goat cheese salad with marinated bell peppers and pecans
		Starters | Porotartar, suppilovahveroita, karpaloa ja rosmariinimajoneesia : Reindeer tartare with funnel chanterelles, cranberries and rosemary mayonnaise
		Starters | Perinteistä savulohikeittoa : Traditional smoked salmon soup
		Mains | Kurpitsagnoccheja, pikkelöityä kurpitsaa ja yrttiranskankermaa : Pumpkin gnocchi with pickled pumpkin and herb crème fraîche
		Mains | Päivän kalaa, paahdettua palsternakkaa ja omena-beurre blanc : Fish of the day with roasted parsnip and apple beurre blanc
		Mains | Poron ulkofileetä, selleripyreetä, sieniä ja mustaherukkakastiketta : Reindeer fillet with celeriac puree, mushrooms and blackcurrant sauce
		Desserts | Kahvipannacotta, konjakkimoussea ja päärynää : Coffee pannacotta with cognac mousse and pear compote
		Desserts | Karpalo-suklaakakkua, vaniljajäätelöä ja kinuskikastiketta : Cranberry and chocolate cake with vanilla ice cream and caramel sauce
		Desserts | Appelsiinijäätelöä, tuoretta appelsiinia ja kanelicrumblea : Orange ice cream with fresh orange and cinnamon crumble
Rioni Helsinki	['Gluten-free', 'Vegan', 'Vegetarian']	"Starters | PKHALI : Assort of Spinache, Beetroot and Green Bean paste
with herbs and walnuts (G*
, V)"
		"Starters | NIGVZIANI BADRIJANI : Eggplant rolls with walnut paste (G*
, V)"
		"Starters | SALATI TBILISURI : Cucumber-tomato salad with crushed walnut
(G*
, V)"
		"Mains | CHASHUSHULI : Rioni’s all-time classic! Beef stew with tomato and
herbs (G*
, L/M)"
		"Mains | LOBIO : Famous bean-walnut stew served with
sour cabbage (V, L, G*)"
		Mains | MTSVADI : Rioni all-time favourite grilled pork neck (G* L/M)
		Desserts | HOUSE CHOCOLATE CAKE
		Desserts | BAKLAVA WITH VANILLA ICE CREAM –
John Scott's Arkadia	['Gluten-free', 'Vegan', 'Vegetarian']	Burgers | John Scott's Burger (L) : 150 g beef patty, cheddar cheese, salad, dressing, tomato and pickled red onions. Served with chips and 3 dips.
		Burgers | Vegan Burger (Ve) : Vegan cheddar, vegan aioli, spicy tomato salsa, salad and pickled red onions. Served with chips and dip.
		Burgers | Halloumi Burger : Fried halloumi, salad, dressing, tomato and pickled red onions. Served with chips and dip.
		Mains | John Scott's Fish & Chips (L) : Beer battered fish served with remoulade and aioli.
		Mains | Bacon Schnitzel (L) : Breaded pork served with chips, bacon and bacon mayonnaise.
		Mains | Sirloin Steak (L, G) : 200 g beef sirloin steak, seasoned butter. Served with roasted potatoes and dip.
		Snacks | Nachos (G) : Served with cheddar cheese sauce and salsa.
		Snacks | Halloumi chips with Dip (G)
		Snacks | Gambas Pil Pil (L, G) : Pan fried prawns marinated in chili and garlic. Served with bread.
Ravintola Muru	['Gluten-free', 'Vegan', 'Vegetarian']	Set Menu | Vaihtuva 4 ruokalajin päivän menu
Shabu House	['Gluten-free', 'Vegan', 'Vegetarian']	Lunch | Daily Lunch : Changing lunch on weekdays from 11 to 14
		All you can eat | Shabu House All You Can Eat : All you can eat Korean BBQ, order as you like. The set includes salad wraps, house dips & rice (ONLY ON SUNDAY & MONDAY EVENING)
		Set Menu | Grill Menu Nichi : Check the whole menu (not available in lunch time)
		Set Menu | Shabu Shabu Menu Getsu : Check the whole menu (not available in lunch time)
		Set Menu | Grill Menu Kin : Check the whole menu (not available in lunch time)
Osteria dei Gusti	['Gluten-free', 'Vegan', 'Vegetarian']	Antipasti | Parmigiana di Melanzane (G) : Munakoiso Parmigiana (G)
		Antipasti | Tris di Bruschette con Pomodorini Semi Secchi e Burrata : Kolmen Bruschetta, puolikuivattua tomaattia ja burrataa
		Antipasti | Capollo con Burrata, Pomodorini Confit e Focaccia : Capocollo leikkelettä burrataa, kirsikkatomaatti confit ja focaccia
		Mains | Gamberoni alla Diavola con Focaccia (L) : Jättikatkarapuja tulisessa tomaattikastikkeessa ja focaccia (L)
		Mains | Ravioli di Carne Cotta Lentamente con Crema alle Erbe e Parmigiano : Hitaasti kypsytettyä lihalla täytettyjä ravioleita ja yrtti-parmigianokreemi
		Mains | Stringozzi alla Carbonara : Stringozzi pastaa, guancialea, pecorinoa, kananmunaa ja mustapippuria
		Desserts | Selezione si Gelati Artigianali : Valikoima artesaanijäätelöitä
		Desserts | Tiramisu dell'Oste : Osterian tiramisu
Lappi Ravintola	['Gluten-free', 'Vegetarian']	"Starters | Valikoima Lapin Herkkuja Kahdelle : Lohitartaria, mätiä, riimiporoa,
poron kuivalihaa, metsäsienisalaattia,
savustettuja muikkuja, leipäjuustoa ja lakkoja"
		"Starters | Lapin Keisarin Salaatti : Savukalaa, Romainesalaattia,
leipäjuustoa ja rieskaa(Kastike sisältää anjovista)"
		Starters | Riimiporoa : Mustikka Vinaigrette
		Mains | Poronkäristystä : Pottumuusia ja puolukkasurvosta
		"Mains | Savustettua Lohta : Sienikastiketta
ja keitettyä perunaa"
		Mains | Kauden Vihannes-Ohra Risotto : Friteerattua leipäjuustoa ja voikastiketta
		Desserts | Kanelikermassa Haudutettua Lapin leipäjuustoa
		Desserts | Piimälettu : Vaniljajäätelöä ja mustikka kompottia
		Desserts | Suomalainen Juusto : Mustikkahilloa
Ravintola Kabuki	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | 鮭とアボカド SHAKE TO AVOCADO : Lohi avokado tartar
		Starters | 鶏の唐揚げ TORI NO KARA-AGE : Tiristettyjä broilerinpaloja, sitruunaa
		Starters | 帆立のバター焼き HOTATE NO BUTTERYAKI : Voissa paistettuja kampasimpukoita
		Sushi | YASAI MORIAWASE 12KPL : Nigiri: inari, kurkku, avokado, wakame-merilevä ja green roll maki
		Sushi | TOKUBETSU MORIAWASE 14KPL : Nigiri: lohi, amaebi, yaki-shibasu, hokkigai simppukka, mäti, tako-mustekala ja Crispy salmon maki
		Sushi | KABUKI SPECIAL : Katkarapu, lohi, sea bass, majoneesi
		Mains | 天婦羅 TEMPURA NO MORIAWASE : Tempura-kuorrutettuja jättiravunpyrstöjä, vihanneksia, kampelaa, mustekalaa
		Mains | 天婦羅うどん / 蕎麦 TEMPURA UDON / SOBA : Udon- tai soba -nuudelikeitto, tempuroitu jättikatkarapu ja kasvis
		Mains | かつ丼 KATSUDON : Friteerattua porsaanfilettä, kananmunaa ja sipulia riisipedillä
Yeastie Boi	['Gluten-free', 'Vegan', 'Vegetarian']	Mains | Los Pollos Hermanos : Plain Bagel, crispy fried chicken, cheddar sauce, jalapeno mayo, crunchy slaw, chives, fresh jalapenos, coriander
		Mains | Harlem Bodega : Sesame seed bagel, Finnish beef patty with onion, caremellized onion, jalapenos, melted cheddar, lettuce, tomato, coriander, chives and spicy mayo
		Mains | Ungapatschka : Plain bagel, muhammara, tapenade, zucchini, eggplant, avocado, toasted maple walnuts
Ravintola Lehtovaara	['Gluten-free', 'Vegetarian']	Starters | Blini, muikunmätiä ja smetanaa : Blini med löjrom och smetanaBlini with vendace roe and sour cream
		Starters | Härkätartar, rosmariinikreemiä : Oxtartar med rosmarinkrämBeef tartare with rosemary cream
		Mains | Paahdettua siikaa, hummerivelouté : Rostad sik med hummerveloutéRoasted whitefish with lobster velouté
		"Mains | Cœur de filet Provençale 1952 : Härän sisäfileetä, tiristettyjä valkosipuliperunoita, valkosipulivoita ja
paistettuja tuoreita herkkusieniviipaleitaOxinnerfilé med friterad vitlökspotatis, vitlökssmör och stekta färska champinjonskivorTenderloin of beef with deep fried garlic potatoes, garlic butter and fried fresh mushrooms"
		Desserts | Crème brûlée, mandariinisorbettia : Crème brûlée med mandarinsorbetCrème brûlée with mandarin sorbet
		Desserts | Kahvilla maustettu maitosuklaa panna cotta, vadelmageeliä : Mjölkchokladpannacotta smaksatt med kaffe, hallongelCoffee and milk chocolate panna cotta with raspberry gel
Winest	['Gluten-free', 'Vegan', 'Vegetarian']	Secondi Piatti | Khabidzgina : Khabidzgina on perinteinen leipä Georgian vuorilta, täytetty juustolla ja perunamuusilla Khabidzgina is a traditional bread from the Georgian Highlands, filled with cheese and mashed potatoes
		Secondi Piatti | Chakondrili Tashmijabit : Naudanliha kypsennetty punaviinissä georgialaisilla mausteilla, korianterilla ja karpaloilla. Tarjoillaan tashmijabin kanssa, perinteinen ruokalaji Svanetista. Ruoka valmistettiin Svan-perheissä kylminä talvina lämmön ja energian tarjoamiseksi raskaan vuoristossa elämisen tueksi. Beef cooked in red wine with Georgian spices, coriander, and cranberry. Served with Tashmijabi, traditional dish from Svaneti. The dish was cooked by Svan families during cold winters to provide warmth and energy for the tough mountain life
		Secondi Piatti | Apkhazura : Ruoka on kotoisin Abhasiasta, alueelta, joka sijaitsee Georgian länsiosassa Mustanmeren lähellä. Se on abhasiankansan perinteinen ruokalaji, joka koostuu mausteilla ja yrteillä maustetusta jauhetusta lihasta. The dish comes from Abkhazia, a region located in the western part of Georgia, near the Black Sea. It’s a traditional dish of the Abkhazian people, made of ground mixed meat with herbs and spices
		Secondi Piatti | Khachapuri With Honey : Juustoinen georgialainen leipä hunajalla Cheesy Georgian bread with honey
		Mains | Borano With Chicken : Borano on perinteinen ruokalaji Adjaran vuoristoista, joissa pitkät ja lumiset talvet ovat yleisiä. Sen historia ulottuu vuosisatojen taakse ja liittyy karjanhoidon ja maitotuotannon kehitykseen tässä Georgian alueessa. Borano is a traditional dish from the highlands of Adjara, where long and snowy winters are common. Its history dates back centuries and is linked to the development of livestock farming and dairy production in this region of Georgia.
		Mains | Chanakhi with burrata : Tuore vihannesmuhennos tomaattikastikkeella ja georgialaisilla mausteilla Fresh vegetable stew with tomato sauce and Georgian spices
		Desserts | Tkbili Plovi : Georgian traditional sweet rice with fruits, dried fruits and cashew 21. Carrot Cake 22. Chocolate Cake 9€ 9€ 9€ 9
		Desserts | Cheese Cake : Cheese Cake Vanilla cheese cake
		Desserts | Carrot Cake : Carrot Cake
Piccola Trattoria Kalasatama	['Gluten-free', 'Vegetarian']	Starters | ANTIPASTO MISTO : Italialainen juusto-, kasvis- ja lihalajitelma
		Starters | ZUPPA DI POMODORO : Tomaattikeittoa
		Starters | INSALATA DI POLLO : Vihersalaattia, kananrintafilettä, oliivia, kurkkua, tomaattia ja rucolaa
		"Mains | RAVIOLI FORMAGGIO DI CAPRA : Raviolipastaa vuohenjuustokastikkeella, rucolan
sekä parmesanjuuston kera"
		"Mains | SALMONE POMODORO E LIMONE : Grillattua lohta sitruunaisella tomaattikastikkeella
sekä salaatilla (sisältää perunat ja kasvikset)"
		"Mains | BISTECCA VINO ROSSO : Grillattua naudan ulkofilepihviä punaviinikastikkeella
(sisältää perunat ja kasvikset)"
		"Pizza | PIZZA FUNGHI SALAME : Mozzarellaa, italialaista salamia, herkkusieniä,
rucolaa sekä parmesanjuustoa"
		"Pizza | PIZZA LA PICCOLA : Mozzarellaa, ilmakuivattua naudanlihaa,
herkkusieniä, paprikaa ja basilikaa"
		"Pizza | PIZZA MELANZANE : Mozzarellaa, kirsikkatomaatteja, munakoisoa,
rucolaa sekä parmesanjuustoa"
Oishi 18 Katajanokka	['Gluten-free', 'Vegan', 'Vegetarian']	All you can eat | All You Can Eat
Noodle Story Freda	['Gluten-free', 'Vegan', 'Vegetarian']	"Noodles | Nuudelikeitto HongShao naudanlihalla : Tuoreita kotitekoisia nuudeleita naudanlihaliemessä, pitkään
haudutettu naudanliha ja makea soijakastikkeessa, pak
choi, Shimeji-sieniä, pavunituja, kevätsipulia ja korianteria."
		"Noodles | Dandan Nuudelit sianlihalla : Tuoreita kotitekoisia nuudeleita seesami ja maapahkinä
chilikastikkeesa, pak choi, shimeji-sieniä, pavunituja ja
kevätsipulia ja korianteria."
		"Noodles | Wonton nuudelikeitto : Tuoreita kotitekoisia nuudeleita, 8 kpl kotitekoinen
Wonton [broiler ja sieni], pak choi, Shimeji-sieniä,
pavunituja, kevätsipulia ja korianteria."
Lie Mi Töölö	['Gluten-free', 'Vegan', 'Vegetarian']	Soups | Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Combo thin sliced steak + meatball
		Soups | Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Chicken
		Soups | Phở, a rice noodle soup served with your choice of filling (Spicy/Normal) : Tofu + mushroom
		Mains | Stir fried noodles : Beef / chicken / tofu / shrimp
		Mains | Shanghai tacos : Crispy Pork / Shrimp / Tofu / Fish / Crispy halloumi
		Desserts | Mochi : 3 pieces
Oishi 18 Kallio	['Gluten-free', 'Vegan', 'Vegetarian']	All you can eat | All You Can Eat
OPPA Korean BBQ Kluuvi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | KESÄKURPITSA
		Starters | TAKUUMUREA™ ENTRECOTE MARMORI
		Starters | JÄTTIKATKARAPU 6 KPL
		Set Menu | SETTI A
		Set Menu | SETTI B
		Set Menu | SETTI C
OPPA Korean BBQ Kaisaniemi	['Gluten-free', 'Vegan', 'Vegetarian']	Small Plates | KESÄKURPITSA
		Small Plates | TAKUUMUREA™ ENTRECOTE MARMORI
		Small Plates | JÄTTIKATKARAPU 6 KPL
		Set Menu | SETTI A
		Set Menu | SETTI B
		Set Menu | SETTI C
GOODWIN The Steak House	['Gluten-free']	Starters | Carpaccio (G) valmistettu marmoroidusta sisäfileestä
		Starters | Suolasilliä talon marinadissa (L) : Tarjotaan ruisleivän kera
		Starters | Broilerinsiivet porkkana- ja selleritikkuja, sinihomejuustodippi
		Steaks | Marmoroitunut New York -pihvi 220 g (G) : Naudan ulkofileetä. Suositeltava kypsyys – Medium rare.
		Steaks | Chateaubriand-pihvi 400 g (G) : Iso pihvi naudan sisäfileen keskiosasta. Suositeltava kypsyysaste – Medium.
		Steaks | Wagyu New York -pihvi 300 g (G) : AUS. Nautaa on ruokittu 300 päivää viljaruoalla ennen teurastamista. Naudan ulkofileetä. Suositeltava kypsyys – Medium
		Desserts | Créme brûlée (L,G) : Vaniljaa + pistaasimanteleita + kahvia
		Desserts | Lämmin suklaafondant, vaniljajäätelöä tummasta suklaasta
		Desserts | New York -juustokakku
Lie Mi Kamppi	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | GOI CUON: SUMMER ROLLS : Pork belly
		Starters | VIETNAMESE SPRING ROLLS : Shrimp
		Salads | Fresh Vietnamese Salad : Papaya salad
		Salads | VIETNAMESE NOODLE SALAD : Your choice of chicken skewers, shrimp or tofu & avocado served with rice noodles and fresh vegetables and herbs
		Mains | Stir fried noodles with : Beef / chicken / tofu / shrimp
		Mains | Hanoi fried rice with : Beef / chicken / tofu / shrimp
		Mains | Curry of the day : Chicken / Tofu
		Desserts | Mochi
Gastro Hub	['Gluten-free', 'Vegan', 'Vegetarian']	Starters | Nigvziani badrijani (L,G,VG) : Munakoisorullat pähkinätäytteelläEggplant rolls with walnut filling
		"Starters | Imeruli Hatsapuri (VE) : Georgialainen litteä juustoleipäGeorgian flatbread stuffed with rich,
melted cheese"
		"Starters | Khinkali (L) : Georgian nyytit, lihainen ja
lieminen täyteGeorgian dumplings with meaty
and brothy filling"
		Grill | Grilled Chicken (L,G) : Mausteinen ja mehukas grillikanaGrilled chicken, juicy and flawlessly seasoned
